,0
639,2077
640,2085
641,2068
642,2062
643,2110
644,2082
645,2106
646,2094
647,2089
648,2099
649,2045
650,2104
651,2052
652,2072
653,2081
654,2084
655,2108
656,2096
657,2088
658,2075
659,2097
660,2115
661,2124
662,2083
663,2135
664,2117
665,2105
666,2095
667,2119
668,2111
669,2123
670,2080
671,2118
672,2133
673,2091
674,2134
675,2144
676,2086
677,2120
678,2121
679,2607
680,2141
681,2142
682,2228
683,2092
684,2188
685,2113
686,2140
687,2102
688,2126
689,2100
690,2122
691,2150
692,2162
693,2156
694,2101
695,2179
696,2145
697,2203
698,2132
699,2192
700,2153
701,2157
702,2139
703,2149
704,2205
705,2125
706,2165
707,2079
708,2131
709,2168
710,2129
711,2107
712,2155
713,2137
714,2148
715,2146
716,2127
717,2167
718,2172
719,2151
720,2159
721,2176
722,2184
723,2152
724,2204
725,2160
726,2163
727,2103
728,2174
729,2180
730,2185
731,2189
732,2224
733,2478
734,2194
735,2116
736,2457
737,2143
738,2166
739,2210
740,2158
741,2136
742,2191
743,2196
744,2187
745,2109
746,2164
747,2195
748,2218
749,2171
750,2197
751,2202
752,2258
753,2211
754,2318
755,2199
756,2215
757,2169
758,2190
759,2186
760,2219
761,2208
762,2193
763,2200
764,2093
765,2227
766,2252
767,2170
768,2182
769,2183
770,2236
771,2212
772,2226
773,2274
774,2249
775,2264
776,2177
777,2087
778,2206
779,2232
780,2348
781,2220
782,2216
783,2247
784,2222
785,2285
786,2259
787,2242
788,2233
789,2255
790,2231
791,2263
792,2241
793,2223
794,2201
795,2198
796,2213
797,2333
798,2225
799,2214
800,2460
801,2265
802,2229
803,2257
804,2270
805,2243
806,2260
807,2250
808,2254
809,2239
810,2221
811,2269
812,2278
813,2154
814,2283
815,2244
816,2230
817,2251
818,2276
819,2246
820,2262
821,2464
822,2235
823,2275
824,2240
825,2245
826,2261
827,2481
828,2181
829,2267
830,2280
831,2209
832,2266
833,2237
834,2279
835,2238
836,2268
837,2253
838,2292
839,2322
840,2272
841,2286
842,2234
843,2296
844,2277
845,2273
846,2289
847,2294
848,2300
849,2320
850,2284
851,2315
852,2303
853,2305
854,2462
855,2309
856,2312
857,2319
858,2339
859,2350
860,2291
861,2297
862,2321
863,2311
864,2304
865,2301
866,2282
867,2298
868,2313
869,2324
870,2325
871,2355
872,2474
873,2295
874,2307
875,2308
876,2316
877,2293
878,2288
879,2338
880,2332
881,2287
882,2337
883,2331
884,2347
885,2341
886,2344
887,2314
888,2328
889,2340
890,2342
891,2327
892,2360
893,2511
894,2353
895,2351
896,2367
897,2323
898,2329
899,2346
900,2352
901,2335
902,2334
903,2336
904,2299
905,2491
906,2374
907,2358
908,2306
909,2357
910,2359
911,2356
912,2361
913,2343
914,2349
915,2330
916,2364
917,2354
918,2377
919,2370
920,2317
921,2399
922,2513
923,2384
924,2368
925,2427
926,2381
927,2365
928,2502
929,2363
930,2490
931,2380
